filename,property_result,frame_sizes,total_time,k,solver,max_memory(MB),execution_time(s),cpu_time(s),exit_code,timed_out,variant
FMCAD08/Int/simulation/metros_4_e3_1025.lus,Timeout,19 16 14 10 5,8.984,5,5499,759.50,302.27,1.66,1,true,base_x3
FMCAD08/Int/simulation/car_3_e8_33_e1_856.lus,Unsafe,0,0.026,1,9,100.66,0.53,0.10,40,false,base_x3
FMCAD08/Int/simulation/car_5_e7_244_e2_693.lus,Unsafe,8 1,0.514,2,373,106.27,0.96,1.55,40,false,base_x3
FMCAD08/Int/simulation/metros_4_e2_968_e5_991.lus,Unsafe,7 5 3 2,1.097,4,1068,450.70,124.72,209.16,40,false,base_x3
FMCAD08/Int/simulation/PRODUCER_CONSUMER_3.lus,Safe,1,0.035,2,22,100.47,0.52,0.12,0,false,base_x3
FMCAD08/Int/simulation/metros_1_e1_846_e1_1317.lus,Safe,13 11,0.527,3,448,108.49,0.94,1.57,0,false,base_x3
FMCAD08/Int/simulation/car_all_e3_1068_e4_275.lus,Safe,3 1,0.217,3,242,102.00,0.74,0.64,0,false,base_x3
FMCAD08/Int/simulation/PRODUCER_CONSUMER_vt_e7_1059_e8_1111.lus,Timeout,,,,,,,,,true,base_x3
FMCAD08/Int/simulation/metros_4_e1_821_e5_911.lus,Timeout,,,,,,,,,true,base_x3
FMCAD08/Int/simulation/car_3_e7_626.lus,Safe,2 1,0.085,3,99,99.95,0.53,0.26,0,false,base_x3
FMCAD08/Int/simulation/PRODUCER_CONSUMER_vt.lus,Timeout,,,,,,,,,true,base_x3
FMCAD08/Int/simulation/metros_4.lus,Timeout,,,,,,,,,true,base_x3
FMCAD08/Int/simulation/car_2_e8_491_e7_826.lus,Safe,3 2,0.081,3,95,100.16,0.52,0.25,0,false,base_x3
FMCAD08/Int/simulation/car_all.lus,Safe,4 1,0.283,3,323,105.34,0.74,0.83,0,false,base_x3
FMCAD08/Int/simulation/car_all_e8_856_e3_180.lus,Unsafe,,0.013,0,2,60.39,0.52,0.07,40,false,base_x3
FMCAD08/Int/simulation/metros_3.lus,Timeout,,,,,,,,,true,base_x3
FMCAD08/Int/simulation/car_5_e2_405_e8_1055.lus,Unsafe,8 1,0.553,2,391,106.68,1.05,1.66,40,false,base_x3
FMCAD08/Int/simulation/metros_1_e8_725_e3_556.lus,Safe,1 0,0.166,3,151,103.00,0.63,0.50,0,false,base_x3
FMCAD08/Int/simulation/metros_4_e3_1091_e3_522.lus,Safe,10 7,0.386,3,354,107.23,0.85,1.16,0,false,base_x3
FMCAD08/Int/simulation/metros_2_e2_704_e7_810.lus,Unsafe,20 9 3,3.267,3,1880,136.47,3.77,9.80,40,false,base_x3
FMCAD08/Int/simulation/metros_4_e2_968_e6_236.lus,Unsafe,26 0,16.015,2,3512,187.26,16.75,32.43,40,false,base_x3
FMCAD08/Int/simulation/metros_2_e1_1116_e1_556.lus,Unsafe,15 11 6 4 3 2 0,17.751,7,8460,203.18,18.54,53.30,40,false,base_x3
FMCAD08/Int/simulation/metros_2_e2_704_e1_389.lus,Unsafe,25 12 6,5.204,3,2360,142.18,5.55,15.37,40,false,base_x3
